"Player","Span","Mat","Inns","NO","Runs","HS","Ave","100","50","0","InningsURL"
"Hannan Sarkar (BAN)","2002-2004",17,33,0,662,"76",20.06,0,5,5,"https://stats.espncricinfo.com/ci/engine/player/55915.html?class=1;template=results;type=batting;view=innings"
"AB Barath (WI)","2009-2012",15,28,0,657,"104",23.46,1,4,2,"https://stats.espncricinfo.com/ci/engine/player/274926.html?class=1;template=results;type=batting;view=innings"
"KD Boyce (WI)","1971-1976",21,30,3,657,"95*",24.33,0,4,4,"https://stats.espncricinfo.com/ci/engine/player/51229.html?class=1;template=results;type=batting;view=innings"
"W Bates (ENG)","1881-1887",15,26,2,656,"64",27.33,0,5,0,"https://stats.espncricinfo.com/ci/engine/player/9037.html?class=1;template=results;type=batting;view=innings"
"BS Bedi (IND)","1966-1979",67,101,28,656,"50*",8.98,0,1,20,"https://stats.espncricinfo.com/ci/engine/player/26875.html?class=1;template=results;type=batting;view=innings"
"JFM Morrison (NZ)","1973-1982",17,29,0,656,"117",22.62,1,3,4,"https://stats.espncricinfo.com/ci/engine/player/37731.html?class=1;template=results;type=batting;view=innings"
"Mushtaq Ahmed (PAK)","1990-2003",52,72,16,656,"59",11.71,0,2,14,"https://stats.espncricinfo.com/ci/engine/player/41316.html?class=1;template=results;type=batting;view=innings"
"Mansoor Akhtar (PAK)","1980-1990",19,29,3,655,"111",25.19,1,3,4,"https://stats.espncricinfo.com/ci/engine/player/41263.html?class=1;template=results;type=batting;view=innings"
"C Milburn (ENG)","1966-1969",9,16,2,654,"139",46.71,2,2,1,"https://stats.espncricinfo.com/ci/engine/player/17018.html?class=1;template=results;type=batting;view=innings"
"JH Wardle (ENG)","1948-1957",28,41,8,653,"66",19.78,0,2,5,"https://stats.espncricinfo.com/ci/engine/player/22288.html?class=1;template=results;type=batting;view=innings"
"AA Donald (SA)","1992-2002",72,94,33,652,"37",10.68,0,0,17,"https://stats.espncricinfo.com/ci/engine/player/44716.html?class=1;template=results;type=batting;view=innings"
"HJH Marshall (NZ)","2000-2006",13,19,2,652,"160",38.35,2,2,1,"https://stats.espncricinfo.com/ci/engine/player/37696.html?class=1;template=results;type=batting;view=innings"
"A Mishra (IND)","2008-2016",22,32,2,648,"84",21.6,0,4,4,"https://stats.espncricinfo.com/ci/engine/player/31107.html?class=1;template=results;type=batting;view=innings"
"MT Renshaw (AUS)","2016-2023",14,24,2,645,"184",29.31,1,3,1,"https://stats.espncricinfo.com/ci/engine/player/722303.html?class=1;template=results;type=batting;view=innings"
"KJ O'Keeffe (AUS)","1971-1977",24,34,9,644,"85",25.76,0,1,3,"https://stats.espncricinfo.com/ci/engine/player/7002.html?class=1;template=results;type=batting;view=innings"
"GD McGrath (AUS)","1993-2007",124,138,51,641,"61",7.36,0,1,35,"https://stats.espncricinfo.com/ci/engine/player/6565.html?class=1;template=results;type=batting;view=innings"
"GS Camacho (WI)","1968-1971",11,22,0,640,"87",29.09,0,4,1,"https://stats.espncricinfo.com/ci/engine/player/51457.html?class=1;template=results;type=batting;view=innings"
"AFG Griffith (WI)","1997-2000",14,27,1,638,"114",24.53,1,4,4,"https://stats.espncricinfo.com/ci/engine/player/51905.html?class=1;template=results;type=batting;view=innings"
"LN Constantine (WI)","1928-1939",18,33,0,635,"90",19.24,0,4,4,"https://stats.espncricinfo.com/ci/engine/player/51483.html?class=1;template=results;type=batting;view=innings"
"IR Bishop (WI)","1989-1998",43,63,11,632,"48",12.15,0,0,10,"https://stats.espncricinfo.com/ci/engine/player/51226.html?class=1;template=results;type=batting;view=innings"
"SC Cook (SA)","2016-2017",11,19,0,632,"117",33.26,3,2,3,"https://stats.espncricinfo.com/ci/engine/player/44656.html?class=1;template=results;type=batting;view=innings"
"HG Deane (SA)","1924-1931",17,27,2,628,"93",25.12,0,3,1,"https://stats.espncricinfo.com/ci/engine/player/44685.html?class=1;template=results;type=batting;view=innings"
"RG Twose (NZ)","1995-1999",16,27,2,628,"94",25.12,0,6,5,"https://stats.espncricinfo.com/ci/engine/player/38624.html?class=1;template=results;type=batting;view=innings"
"PN Kirsten (SA)","1992-1994",12,22,2,626,"104",31.3,1,4,2,"https://stats.espncricinfo.com/ci/engine/player/45815.html?class=1;template=results;type=batting;view=innings"
"TW Jarvis (NZ)","1965-1973",13,22,1,625,"182",29.76,1,2,6,"https://stats.espncricinfo.com/ci/engine/player/37488.html?class=1;template=results;type=batting;view=innings"
"M Jansen (SA)","2021-2025",21,32,5,624,"93",23.11,0,4,4,"https://stats.espncricinfo.com/ci/engine/player/696401.html?class=1;template=results;type=batting;view=innings"
"M Kaif (IND)","2000-2006",13,22,3,624,"148*",32.84,1,3,1,"https://stats.espncricinfo.com/ci/engine/player/29990.html?class=1;template=results;type=batting;view=innings"
"PF Warner (ENG)","1899-1912",15,28,2,622,"132*",23.92,1,3,4,"https://stats.espncricinfo.com/ci/engine/player/22311.html?class=1;template=results;type=batting;view=innings"
"Fazal Mahmood (PAK)","1952-1962",34,50,6,620,"60",14.09,0,1,10,"https://stats.espncricinfo.com/ci/engine/player/40092.html?class=1;template=results;type=batting;view=innings"
"JAJ Christy (SA)","1929-1932",10,18,0,618,"103",34.33,1,5,1,"https://stats.espncricinfo.com/ci/engine/player/44440.html?class=1;template=results;type=batting;view=innings"
"UDU Chandana (SL)","1999-2005",16,24,1,616,"92",26.78,0,2,0,"https://stats.espncricinfo.com/ci/engine/player/48369.html?class=1;template=results;type=batting;view=innings"
"TMK Mawoyo (ZIM)","2011-2016",11,22,1,615,"163*",29.28,1,3,2,"https://stats.espncricinfo.com/ci/engine/player/55597.html?class=1;template=results;type=batting;view=innings"
"RC Motz (NZ)","1961-1969",32,56,3,612,"60",11.54,0,3,12,"https://stats.espncricinfo.com/ci/engine/player/37733.html?class=1;template=results;type=batting;view=innings"
"S Mushtaq Ali (IND)","1934-1952",11,20,1,612,"112",32.21,2,3,1,"https://stats.espncricinfo.com/ci/engine/player/31061.html?class=1;template=results;type=batting;view=innings"
"RWV Robins (ENG)","1929-1937",19,27,4,612,"108",26.6,1,4,4,"https://stats.espncricinfo.com/ci/engine/player/19450.html?class=1;template=results;type=batting;view=innings"
"JC Watkins (SA)","1949-1957",15,27,1,612,"92",23.53,0,3,2,"https://stats.espncricinfo.com/ci/engine/player/47869.html?class=1;template=results;type=batting;view=innings"
"CS Baugh (WI)","2003-2012",21,36,2,610,"68",17.94,0,3,1,"https://stats.espncricinfo.com/ci/engine/player/51446.html?class=1;template=results;type=batting;view=innings"
"MS Harris (AUS)","2018-2022",14,26,2,607,"79",25.29,0,3,0,"https://stats.espncricinfo.com/ci/engine/player/434813.html?class=1;template=results;type=batting;view=innings"
"PM Pollock (SA)","1961-1970",28,41,13,607,"75*",21.67,0,2,3,"https://stats.espncricinfo.com/ci/engine/player/46770.html?class=1;template=results;type=batting;view=innings"
"JT Ikin (ENG)","1946-1955",18,31,2,606,"60",20.89,0,3,4,"https://stats.espncricinfo.com/ci/engine/player/15381.html?class=1;template=results;type=batting;view=innings"
"RJ Harris (AUS)","2010-2015",27,39,11,603,"74",21.53,0,3,2,"https://stats.espncricinfo.com/ci/engine/player/5779.html?class=1;template=results;type=batting;view=innings"
"RE Foster (ENG)","1903-1907",8,14,1,602,"287",46.3,1,1,1,"https://stats.espncricinfo.com/ci/engine/player/12881.html?class=1;template=results;type=batting;view=innings"
"Ibrahim Zadran (AFG)","2019-2025",8,16,0,602,"114",37.62,1,4,2,"https://stats.espncricinfo.com/ci/engine/player/921509.html?class=1;template=results;type=batting;view=innings"
"DA Murray (WI)","1978-1982",19,31,3,601,"84",21.46,0,3,3,"https://stats.espncricinfo.com/ci/engine/player/52439.html?class=1;template=results;type=batting;view=innings"
"AG Steel (ENG)","1880-1888",13,20,3,600,"148",35.29,2,0,1,"https://stats.espncricinfo.com/ci/engine/player/20350.html?class=1;template=results;type=batting;view=innings"
"BAG Murray (NZ)","1968-1971",13,26,1,598,"90",23.92,0,5,1,"https://stats.espncricinfo.com/ci/engine/player/37734.html?class=1;template=results;type=batting;view=innings"
"Zakir Hasan (BAN)","2022-2024",13,26,1,593,"100",23.72,1,4,2,"https://stats.espncricinfo.com/ci/engine/player/697059.html?class=1;template=results;type=batting;view=innings"
"TJE Andrews (AUS)","1921-1926",16,23,1,592,"94",26.9,0,4,0,"https://stats.espncricinfo.com/ci/engine/player/3971.html?class=1;template=results;type=batting;view=innings"
"Adnan Akmal (PAK)","2010-2014",21,29,5,591,"64",24.62,0,3,2,"https://stats.espncricinfo.com/ci/engine/player/39038.html?class=1;template=results;type=batting;view=innings"
"RG Barlow (ENG)","1881-1887",17,30,4,591,"62",22.73,0,2,3,"https://stats.espncricinfo.com/ci/engine/player/8992.html?class=1;template=results;type=batting;view=innings"
"HR Lance (SA)","1962-1970",13,22,1,591,"70",28.14,0,5,1,"https://stats.espncricinfo.com/ci/engine/player/45960.html?class=1;template=results;type=batting;view=innings"
"V Sibanda (ZIM)","2003-2014",14,28,0,591,"93",21.1,0,2,3,"https://stats.espncricinfo.com/ci/engine/player/55787.html?class=1;template=results;type=batting;view=innings"
"MD Craig (NZ)","2014-2016",15,25,9,589,"67",36.81,0,3,1,"https://stats.espncricinfo.com/ci/engine/player/497543.html?class=1;template=results;type=batting;view=innings"
"MHN Walker (AUS)","1972-1977",34,43,13,586,"78*",19.53,0,1,5,"https://stats.espncricinfo.com/ci/engine/player/8137.html?class=1;template=results;type=batting;view=innings"
"Alok Kapali (BAN)","2002-2006",17,34,1,584,"85",17.69,0,2,6,"https://stats.espncricinfo.com/ci/engine/player/56251.html?class=1;template=results;type=batting;view=innings"
"Aftab Ahmed (BAN)","2004-2010",16,31,3,582,"82*",20.78,0,1,4,"https://stats.espncricinfo.com/ci/engine/player/56266.html?class=1;template=results;type=batting;view=innings"
"MP Donnelly (NZ)","1937-1949",7,12,1,582,"206",52.9,1,4,2,"https://stats.espncricinfo.com/ci/engine/player/36832.html?class=1;template=results;type=batting;view=innings"
"PA Gibb (ENG)","1938-1946",8,13,0,581,"120",44.69,2,3,1,"https://stats.espncricinfo.com/ci/engine/player/13357.html?class=1;template=results;type=batting;view=innings"
"AR McBrine (IRE)","2019-2025",11,21,3,581,"90*",32.27,0,5,2,"https://stats.espncricinfo.com/ci/engine/player/417381.html?class=1;template=results;type=batting;view=innings"
"MLC Foster (WI)","1969-1978",14,24,5,580,"125",30.52,1,1,0,"https://stats.espncricinfo.com/ci/engine/player/51793.html?class=1;template=results;type=batting;view=innings"
"KK Nair (IND)","2016-2025",10,15,1,579,"303*",41.35,1,1,2,"https://stats.espncricinfo.com/ci/engine/player/398439.html?class=1;template=results;type=batting;view=innings"
"Umar Gul (PAK)","2003-2013",47,67,9,577,"65*",9.94,0,1,15,"https://stats.espncricinfo.com/ci/engine/player/43524.html?class=1;template=results;type=batting;view=innings"
"MN Waller (ZIM)","2011-2017",14,28,1,577,"72*",21.37,0,4,4,"https://stats.espncricinfo.com/ci/engine/player/55872.html?class=1;template=results;type=batting;view=innings"
"A Jadeja (IND)","1992-2000",15,24,2,576,"96",26.18,0,4,1,"https://stats.espncricinfo.com/ci/engine/player/29632.html?class=1;template=results;type=batting;view=innings"
"RS Bopara (ENG)","2007-2012",13,19,1,575,"143",31.94,3,0,5,"https://stats.espncricinfo.com/ci/engine/player/10582.html?class=1;template=results;type=batting;view=innings"
"TT Bresnan (ENG)","2009-2013",23,26,4,575,"91",26.13,0,3,3,"https://stats.espncricinfo.com/ci/engine/player/9310.html?class=1;template=results;type=batting;view=innings"
"AD Hales (ENG)","2015-2016",11,21,0,573,"94",27.28,0,5,0,"https://stats.espncricinfo.com/ci/engine/player/249866.html?class=1;template=results;type=batting;view=innings"
"CE McLeod (AUS)","1894-1905",17,29,5,573,"112",23.87,1,4,5,"https://stats.espncricinfo.com/ci/engine/player/6584.html?class=1;template=results;type=batting;view=innings"
"RS Morton (WI)","2005-2008",15,27,1,573,"70*",22.03,0,4,1,"https://stats.espncricinfo.com/ci/engine/player/52445.html?class=1;template=results;type=batting;view=innings"
"AB Agarkar (IND)","1998-2006",26,39,5,571,"109*",16.79,1,0,9,"https://stats.espncricinfo.com/ci/engine/player/26184.html?class=1;template=results;type=batting;view=innings"
"KNM Fernando (SL)","2023-2024",10,18,1,571,"205",33.58,1,2,1,"https://stats.espncricinfo.com/ci/engine/player/1126045.html?class=1;template=results;type=batting;view=innings"
"SB Doull (NZ)","1992-2000",32,50,11,570,"46",14.61,0,0,10,"https://stats.espncricinfo.com/ci/engine/player/36835.html?class=1;template=results;type=batting;view=innings"
"E Chigumbura (ZIM)","2004-2014",14,27,0,569,"88",21.07,0,4,6,"https://stats.espncricinfo.com/ci/engine/player/55343.html?class=1;template=results;type=batting;view=innings"
"GL Jessop (ENG)","1899-1912",18,26,0,569,"104",21.88,1,3,3,"https://stats.espncricinfo.com/ci/engine/player/15509.html?class=1;template=results;type=batting;view=innings"
"DAJ Bracewell (NZ)","2011-2023",28,45,4,568,"47",13.85,0,0,11,"https://stats.espncricinfo.com/ci/engine/player/362541.html?class=1;template=results;type=batting;view=innings"
"Aamer Malik (PAK)","1987-1994",14,19,3,565,"117",35.31,2,3,3,"https://stats.espncricinfo.com/ci/engine/player/38965.html?class=1;template=results;type=batting;view=innings"
"JR Hazlewood (AUS)","2014-2025",76,96,47,565,"39",11.53,0,0,12,"https://stats.espncricinfo.com/ci/engine/player/288284.html?class=1;template=results;type=batting;view=innings"
"EDAS McMorris (WI)","1958-1966",13,21,0,564,"125",26.85,1,3,1,"https://stats.espncricinfo.com/ci/engine/player/52512.html?class=1;template=results;type=batting;view=innings"
"GO Rabone (NZ)","1949-1955",12,20,2,562,"107",31.22,1,2,0,"https://stats.espncricinfo.com/ci/engine/player/38242.html?class=1;template=results;type=batting;view=innings"
"IS Sodhi (NZ)","2013-2024",21,31,4,561,"65",20.77,0,4,5,"https://stats.espncricinfo.com/ci/engine/player/559066.html?class=1;template=results;type=batting;view=innings"
"CV Grimmett (AUS)","1925-1936",37,50,10,557,"50",13.92,0,1,7,"https://stats.espncricinfo.com/ci/engine/player/5443.html?class=1;template=results;type=batting;view=innings"
"MF Maharoof (SL)","2004-2011",22,34,4,556,"72",18.53,0,3,1,"https://stats.espncricinfo.com/ci/engine/player/49638.html?class=1;template=results;type=batting;view=innings"
"GP Wickramasinghe (SL)","1991-2001",40,64,5,555,"51",9.4,0,1,17,"https://stats.espncricinfo.com/ci/engine/player/50848.html?class=1;template=results;type=batting;view=innings"
"SJE Loxton (AUS)","1948-1951",12,15,0,554,"101",36.93,1,3,1,"https://stats.espncricinfo.com/ci/engine/player/6323.html?class=1;template=results;type=batting;view=innings"
"SSJ Brooks (WI)","2019-2022",13,24,0,553,"111",23.04,1,3,3,"https://stats.espncricinfo.com/ci/engine/player/230555.html?class=1;template=results;type=batting;view=innings"
"AG Chipperfield (AUS)","1934-1938",14,20,3,552,"109",32.47,1,2,1,"https://stats.espncricinfo.com/ci/engine/player/4570.html?class=1;template=results;type=batting;view=innings"
"B Kumar (IND)","2013-2018",21,29,4,552,"63*",22.08,0,3,4,"https://stats.espncricinfo.com/ci/engine/player/326016.html?class=1;template=results;type=batting;view=innings"
"D Lloyd (ENG)","1974-1975",9,15,2,552,"214*",42.46,1,0,0,"https://stats.espncricinfo.com/ci/engine/player/16318.html?class=1;template=results;type=batting;view=innings"
"S Amarnath (IND)","1976-1978",10,18,0,550,"124",30.55,1,3,1,"https://stats.espncricinfo.com/ci/engine/player/26226.html?class=1;template=results;type=batting;view=innings"
"M Dillon (WI)","1997-2004",38,68,3,549,"43",8.44,0,0,26,"https://stats.espncricinfo.com/ci/engine/player/51651.html?class=1;template=results;type=batting;view=innings"
"Iqbal Qasim (PAK)","1976-1988",50,57,15,549,"56",13.07,0,1,10,"https://stats.espncricinfo.com/ci/engine/player/40572.html?class=1;template=results;type=batting;view=innings"
"A Balbirnie (IRE)","2018-2025",12,24,1,548,"95",23.82,0,5,4,"https://stats.espncricinfo.com/ci/engine/player/303423.html?class=1;template=results;type=batting;view=innings"
"JM Vince (ENG)","2016-2018",13,22,0,548,"83",24.9,0,3,2,"https://stats.espncricinfo.com/ci/engine/player/296597.html?class=1;template=results;type=batting;view=innings"
"CB Llewellyn (SA)","1896-1912",15,28,1,544,"90",20.14,0,4,6,"https://stats.espncricinfo.com/ci/engine/player/45996.html?class=1;template=results;type=batting;view=innings"
"Shoaib Akhtar (PAK)","1997-2007",46,67,13,544,"47",10.07,0,0,11,"https://stats.espncricinfo.com/ci/engine/player/42655.html?class=1;template=results;type=batting;view=innings"
"WA Hadlee (NZ)","1937-1951",11,19,1,543,"116",30.16,1,2,1,"https://stats.espncricinfo.com/ci/engine/player/37226.html?class=1;template=results;type=batting;view=innings"
"ML Apte (IND)","1952-1953",7,13,2,542,"163*",49.27,1,3,1,"https://stats.espncricinfo.com/ci/engine/player/26269.html?class=1;template=results;type=batting;view=innings"
"AG Cremer (ZIM)","2005-2017",19,38,5,540,"102*",16.36,1,0,7,"https://stats.espncricinfo.com/ci/engine/player/55346.html?class=1;template=results;type=batting;view=innings"
"AU Rashid (ENG)","2015-2019",19,33,5,540,"61",19.28,0,2,3,"https://stats.espncricinfo.com/ci/engine/player/244497.html?class=1;template=results;type=batting;view=innings"
"LPC Silva (SL)","2006-2008",11,17,1,537,"152*",33.56,1,2,3,"https://stats.espncricinfo.com/ci/engine/player/50431.html?class=1;template=results;type=batting;view=innings"
"RA Harper (WI)","1983-1993",25,32,3,535,"74",18.44,0,3,5,"https://stats.espncricinfo.com/ci/engine/player/52045.html?class=1;template=results;type=batting;view=innings"
"RO Collinge (NZ)","1965-1978",35,50,13,533,"68*",14.4,0,2,9,"https://stats.espncricinfo.com/ci/engine/player/36606.html?class=1;template=results;type=batting;view=innings"
"PL van der Merwe (SA)","1963-1967",15,23,2,533,"76",25.38,0,3,3,"https://stats.espncricinfo.com/ci/engine/player/47692.html?class=1;template=results;type=batting;view=innings"
"NC Johnson (ZIM)","1998-2000",13,23,1,532,"107",24.18,1,4,3,"https://stats.espncricinfo.com/ci/engine/player/55528.html?class=1;template=results;type=batting;view=innings"
"HH Pandya (IND)","2017-2018",11,18,1,532,"108",31.29,1,4,2,"https://stats.espncricinfo.com/ci/engine/player/625371.html?class=1;template=results;type=batting;view=innings"
"S Ranatunga (SL)","1994-1997",9,17,1,531,"118",33.18,2,2,1,"https://stats.espncricinfo.com/ci/engine/player/50247.html?class=1;template=results;type=batting;view=innings"
"DT Tiripano (ZIM)","2014-2023",16,31,7,531,"95",22.12,0,2,5,"https://stats.espncricinfo.com/ci/engine/player/392945.html?class=1;template=results;type=batting;view=innings"
"Aminul Islam (BAN)","2000-2002",13,26,1,530,"145",21.2,1,2,3,"https://stats.espncricinfo.com/ci/engine/player/56224.html?class=1;template=results;type=batting;view=innings"
"CC Griffith (WI)","1960-1969",28,42,10,530,"54",16.56,0,1,5,"https://stats.espncricinfo.com/ci/engine/player/51907.html?class=1;template=results;type=batting;view=innings"
"DR Hadlee (NZ)","1969-1978",26,42,5,530,"56",14.32,0,1,9,"https://stats.espncricinfo.com/ci/engine/player/37222.html?class=1;template=results;type=batting;view=innings"
